path,split,no_gain_candidate,causeless,uniform_fallen,uniform_lie_down,group,labels_16,n_labels,frames,total_frames,pred_fall,pred_fallen,pred_normal
fall/fall_ch_027,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_028,test,False,False,False,False,-,fall+other,2,fall:19/other:62,81,64.0,0.0,16.0
fall/fall_ch_029,train,False,False,False,False,-,fall+fallen+sitting+stand_up,4,fall:35/fallen:8/sitting:11/stand_up:27,81,,,
fall/fall_ch_030,train,False,False,False,False,-,fall+fallen,2,fall:57/fallen:24,81,,,
fall/fall_ch_031,train,False,False,False,False,-,fall+fallen,2,fall:35/fallen:46,81,,,
fall/fall_ch_032,train,False,False,False,False,-,fall+fallen+stand_up,3,fall:39/fallen:25/stand_up:17,81,,,
fall/fall_ch_033,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_034,train,False,False,False,False,-,walk+other+jump,3,walk:16/other:43/jump:22,81,,,
fall/fall_ch_035,train,False,False,False,False,-,fall+stand_up,2,fall:35/stand_up:46,81,,,
fall/fall_ch_036,test,False,False,False,False,-,fall+fallen+stand_up+kneeling,4,fall:12/fallen:3/stand_up:25/kneeling:41,81,36.0,0.0,44.0
fall/fall_ch_037,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_038,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_039,train,False,False,False,False,-,fall+sitting,2,fall:25/sitting:56,81,,,
fall/fall_ch_040,train,False,False,False,False,-,fall+fallen+stand_up+other,4,fall:26/fallen:31/stand_up:13/other:11,81,,,
fall/fall_ch_041,train,False,False,False,False,-,walk+fall+stand_up+kneeling,4,walk:19/fall:40/stand_up:5/kneeling:17,81,,,
fall/fall_ch_042,train,False,False,False,False,-,fall+fallen+other,3,fall:44/fallen:10/other:27,81,,,
fall/fall_ch_043,test,False,False,False,False,-,fall+other,2,fall:35/other:46,81,31.0,0.0,49.0
fall/fall_ch_044,test,False,False,False,False,-,fall+stand_up+other,3,fall:50/stand_up:15/other:16,81,56.0,11.0,13.0
fall/fall_ch_045,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_046,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_047,val,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_048,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_049,train,False,False,False,False,-,fall+lying,2,fall:66/lying:15,81,,,
fall/fall_ch_050,train,False,False,False,False,-,walk+fall,2,walk:18/fall:63,81,,,
fall/fall_ch_051,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_052,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_053,train,False,False,False,False,-,fall+fallen,2,fall:68/fallen:13,81,,,
fall/fall_ch_054,test,False,False,False,False,-,fall+standing,2,fall:48/standing:33,81,27.0,0.0,53.0
fall/fall_ch_055,train,False,False,False,False,-,walk+fall,2,walk:14/fall:67,81,,,
fall/fall_ch_056,train,False,False,False,False,-,fall+other,2,fall:46/other:35,81,,,
fall/fall_ch_057,train,False,False,False,False,-,fall+fallen,2,fall:65/fallen:16,81,,,
fall/fall_ch_058,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_059,test,False,False,False,False,-,fall+other,2,fall:21/other:60,81,54.0,18.0,8.0
fall/fall_ch_060,train,False,False,False,False,-,fall+sitting,2,fall:22/sitting:59,81,,,
fall/fall_ch_061,train,False,False,False,False,-,walk+fall+standing,3,walk:23/fall:27/standing:31,81,,,
fall/fall_ch_062,train,False,False,False,False,-,fall+sitting+stand_up+other,4,fall:24/sitting:9/stand_up:28/other:20,81,,,
fall/fall_ch_063,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_064,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_065,train,False,False,False,False,-,fall+other,2,fall:31/other:50,81,,,
fall/fall_ch_066,train,False,False,False,False,-,fall+fallen,2,fall:23/fallen:58,81,,,
fall/fall_ch_067,train,False,False,False,False,-,fall+other,2,fall:19/other:62,81,,,
fall/fall_ch_068,train,False,False,False,False,-,walk+fall+fallen,3,walk:59/fall:15/fallen:7,81,,,
fall/fall_ch_069,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_070,train,False,False,False,False,-,fall+fallen,2,fall:58/fallen:23,81,,,
fall/fall_ch_071,train,False,False,False,False,-,walk+fall+fallen+stand_up,4,walk:17/fall:18/fallen:17/stand_up:29,81,,,
fall/fall_ch_072,train,False,False,False,False,-,fall+stand_up+jump,3,fall:20/stand_up:52/jump:9,81,,,
fall/fall_ch_073,train,False,False,False,False,-,fall+stand_up,2,fall:54/stand_up:27,81,,,
fall/fall_ch_074,train,False,False,False,False,-,fall+fallen,2,fall:22/fallen:59,81,,,
fall/fall_ch_075,train,False,False,False,False,-,walk+fall+fallen,3,walk:15/fall:34/fallen:32,81,,,
fall/fall_ch_076,train,False,False,False,False,-,fall+fallen+other,3,fall:21/fallen:5/other:55,81,,,
fall/fall_ch_077,train,False,False,False,False,-,fall+jump,2,fall:64/jump:17,81,,,
fall/fall_ch_078,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_079,train,False,False,False,False,-,fall+fallen+jump,3,fall:46/fallen:17/jump:18,81,,,
fall/fall_ch_080,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_081,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_082,train,False,False,False,False,-,fall+sitting+other,3,fall:10/sitting:52/other:19,81,,,
fall/fall_ch_083,train,False,False,False,False,-,fall+jump,2,fall:50/jump:31,81,,,
fall/fall_ch_084,train,False,False,False,False,-,walk+fall+fallen,3,walk:11/fall:45/fallen:25,81,,,
fall/fall_ch_085,val,False,False,False,False,-,lie_down+lying+jump,3,lie_down:17/lying:46/jump:18,81,,,
fall/fall_ch_086,train,False,False,False,False,-,walk+fall+fallen,3,walk:10/fall:46/fallen:25,81,,,
fall/fall_ch_087,val,False,False,False,False,-,fall+sitting+stand_up+standing,4,fall:24/sitting:11/stand_up:37/standing:9,81,,,
fall/fall_ch_088,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_089,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_090,train,False,False,False,False,-,fall+fallen,2,fall:51/fallen:30,81,,,
fall/fall_ch_091,test,False,False,False,False,-,fall+other,2,fall:63/other:18,81,61.0,1.0,18.0
fall/fall_ch_092,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_093,train,False,False,False,False,-,fall+fallen+other,3,fall:34/fallen:8/other:39,81,,,
fall/fall_ch_094,train,False,False,False,False,-,walk+fall,2,walk:5/fall:76,81,,,
fall/fall_ch_095,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_096,train,False,False,False,False,-,walk+fall,2,walk:53/fall:28,81,,,
fall/fall_ch_097,test,False,False,False,False,-,other,1,other:81,81,40.0,0.0,40.0
fall/fall_ch_098,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_099,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_100,train,False,False,False,False,-,fall+stand_up+other,3,fall:34/stand_up:6/other:41,81,,,
fall/fall_ch_101,val,False,False,False,False,-,fall+fallen,2,fall:60/fallen:21,81,,,
fall/fall_ch_102,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_103,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_104,train,False,False,False,False,-,walk+fall+fallen+stand_up,4,walk:13/fall:14/fallen:16/stand_up:38,81,,,
fall/fall_ch_105,train,False,False,False,False,-,fall+fallen+stand_up,3,fall:39/fallen:14/stand_up:28,81,,,
fall/fall_ch_106,train,False,False,False,False,-,fall+fallen,2,fall:50/fallen:31,81,,,
fall/fall_ch_107,test,False,False,False,False,-,fall,1,fall:81,81,12.0,0.0,68.0
fall/fall_ch_108,train,False,False,False,False,-,fall+standing,2,fall:56/standing:25,81,,,
fall/fall_ch_109,train,False,False,False,False,-,walk+fall+fallen+stand_up+jump,5,walk:20/fall:14/fallen:12/stand_up:29/jump:6,81,,,
fall/fall_ch_110,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_111,train,False,False,False,False,-,walk+fall+stand_up+other,4,walk:33/fall:15/stand_up:22/other:11,81,,,
fall/fall_ch_112,train,False,False,False,False,-,fall+fallen+other,3,fall:39/fallen:23/other:19,81,,,
fall/fall_ch_113,train,False,False,False,False,-,walk+fall+stand_up+standing,4,walk:5/fall:45/stand_up:26/standing:5,81,,,
fall/fall_ch_114,train,False,False,False,False,-,walk+fall+stand_up,3,walk:37/fall:36/stand_up:8,81,,,
fall/fall_ch_115,train,False,False,False,False,-,fall+fallen,2,fall:22/fallen:59,81,,,
fall/fall_ch_116,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_117,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_118,test,False,False,False,False,-,fall,1,fall:81,81,79.0,0.0,1.0
fall/fall_ch_119,train,False,False,False,False,-,walk+fall+stand_up+standing,4,walk:13/fall:34/stand_up:26/standing:8,81,,,
fall/fall_ch_120,train,False,False,False,False,-,fall+fallen+stand_up+standing,4,fall:20/fallen:15/stand_up:40/standing:6,81,,,
fall/fall_ch_121,train,False,False,False,False,-,sit_down+sitting+kneel_down+kneeling+squat_down,5,sit_down:26/sitting:28/kneel_down:9/kneeling:2/squat_down:16,81,,,
fall/fall_ch_122,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_123,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_124,train,False,False,False,False,-,fall+sitting+stand_up,3,fall:31/sitting:44/stand_up:6,81,,,
fall/fall_ch_125,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_126,val,False,False,False,False,-,fall+stand_up+other+kneeling,4,fall:8/stand_up:20/other:25/kneeling:28,81,,,
fall/fall_ch_127,val,False,False,False,False,-,fall+fallen+stand_up+kneeling+crawl,5,fall:34/fallen:8/stand_up:20/kneeling:11/crawl:8,81,,,
fall/fall_ch_128,train,False,False,False,False,-,fall+fallen,2,fall:42/fallen:39,81,,,
fall/fall_ch_129,test,False,False,False,False,-,fall+fallen+standing,3,fall:22/fallen:46/standing:13,81,64.0,0.0,16.0
fall/fall_ch_130,train,False,False,False,False,-,walk+stand_up+other,3,walk:12/stand_up:45/other:24,81,,,
fall/fall_ch_131,train,False,False,False,False,-,fall+fallen,2,fall:80/fallen:1,81,,,
fall/fall_ch_132,train,False,False,False,False,-,fall+stand_up+other+jump,4,fall:22/stand_up:17/other:30/jump:12,81,,,
fall/fall_ch_133,val,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_134,val,False,False,False,False,-,fall+stand_up+standing,3,fall:24/stand_up:41/standing:16,81,,,
fall/fall_ch_135,train,False,False,False,False,-,fall+stand_up,2,fall:76/stand_up:5,81,,,
fall/fall_ch_136,train,False,False,False,False,-,fall+other,2,fall:48/other:33,81,,,
fall/fall_ch_137,train,False,False,False,False,-,fall+sitting,2,fall:47/sitting:34,81,,,
fall/fall_ch_138,train,False,False,False,False,-,walk+fall+stand_up+other,4,walk:8/fall:26/stand_up:21/other:26,81,,,
fall/fall_ch_139,train,False,False,False,False,-,fall+sitting+stand_up+other,4,fall:30/sitting:18/stand_up:10/other:23,81,,,
fall/fall_ch_140,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_141,train,False,False,False,False,-,fall+fallen+stand_up,3,fall:27/fallen:10/stand_up:44,81,,,
fall/fall_ch_142,train,False,False,False,False,-,fall+fallen+other,3,fall:22/fallen:42/other:17,81,,,
fall/fall_ch_143,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_144,train,False,False,False,False,-,walk+fall+standing+kneeling,4,walk:11/fall:24/standing:6/kneeling:40,81,,,
fall/fall_ch_145,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_146,train,False,False,False,False,-,fall+stand_up,2,fall:45/stand_up:36,81,,,
fall/fall_ch_147,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_148,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_149,train,False,False,False,False,-,fall+fallen+stand_up+kneeling+jump,5,fall:31/fallen:12/stand_up:20/kneeling:11/jump:7,81,,,
fall/fall_ch_150,train,False,False,False,False,-,walk+fall+fallen,3,walk:24/fall:51/fallen:6,81,,,
fall/fall_ch_151,train,False,False,False,False,-,walk+fall+fallen+stand_up,4,walk:6/fall:11/fallen:24/stand_up:40,81,,,
fall/fall_ch_152,train,False,False,False,False,-,walk+fall+sitting,3,walk:15/fall:33/sitting:33,81,,,
fall/fall_ch_153,test,False,False,False,False,-,fall+sitting+other,3,fall:52/sitting:14/other:15,81,31.0,17.0,32.0
fall/fall_ch_154,val,False,False,False,False,-,fall+lie_down,2,fall:65/lie_down:16,81,,,
fall/fall_ch_155,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_156,train,False,False,False,False,-,walk+fall+jump,3,walk:48/fall:15/jump:18,81,,,
fall/fall_ch_157,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_158,train,False,False,False,False,-,fall+sitting,2,fall:55/sitting:26,81,,,
fall/fall_ch_159,test,False,False,False,False,-,fall+kneeling,2,fall:22/kneeling:59,81,16.0,0.0,64.0
fall/fall_ch_160,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_161,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_162,train,False,False,False,False,-,fall+stand_up+other,3,fall:30/stand_up:39/other:12,81,,,
fall/fall_ch_163,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_164,train,False,False,False,False,-,fall+lie_down+stand_up+jump,4,fall:22/lie_down:8/stand_up:37/jump:14,81,,,
fall/fall_ch_165,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_166,train,False,False,False,False,-,fall+fallen,2,fall:39/fallen:42,81,,,
fall/fall_ch_167,test,False,False,False,False,-,fall+fallen+stand_up+other,4,fall:47/fallen:6/stand_up:14/other:14,81,42.0,0.0,38.0
fall/fall_ch_168,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_169,train,False,False,False,False,-,fall+fallen+sitting,3,fall:18/fallen:55/sitting:8,81,,,
fall/fall_ch_170,train,False,False,False,False,-,fall+sitting+stand_up,3,fall:44/sitting:6/stand_up:31,81,,,
fall/fall_ch_171,train,False,False,False,False,-,fall+fallen+other,3,fall:25/fallen:18/other:38,81,,,
fall/fall_ch_172,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_173,train,False,False,False,False,-,fall+fallen+stand_up+kneeling,4,fall:32/fallen:7/stand_up:14/kneeling:28,81,,,
fall/fall_ch_174,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_175,train,False,False,False,False,-,fall+fallen+sitting+stand_up,4,fall:14/fallen:31/sitting:7/stand_up:29,81,,,
fall/fall_ch_176,train,False,False,False,False,-,fall+stand_up,2,fall:60/stand_up:21,81,,,
fall/fall_ch_177,train,False,False,False,False,-,walk+fall+stand_up+standing,4,walk:44/fall:8/stand_up:19/standing:10,81,,,
fall/fall_ch_178,train,False,False,False,False,-,fall+fallen,2,fall:59/fallen:22,81,,,
fall/fall_ch_179,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_180,train,False,False,False,False,-,fall+fallen+stand_up,3,fall:31/fallen:16/stand_up:34,81,,,
fall/fall_ch_181,train,False,False,False,False,-,fall+sit_down+sitting+stand_up,4,fall:37/sit_down:31/sitting:12/stand_up:1,81,,,
fall/fall_ch_182,train,False,False,False,False,-,fall+fallen,2,fall:16/fallen:65,81,,,
fall/fall_ch_183,train,False,False,False,False,-,fall+other,2,fall:34/other:47,81,,,
fall/fall_ch_184,train,False,False,False,False,-,fall+standing,2,fall:58/standing:23,81,,,
fall/fall_ch_185,train,False,False,False,False,-,fall+sitting+stand_up,3,fall:35/sitting:20/stand_up:26,81,,,
fall/fall_ch_186,train,False,False,False,False,-,walk+fall+stand_up,3,walk:15/fall:50/stand_up:16,81,,,
fall/fall_ch_187,train,False,False,False,False,-,walk+fall+stand_up,3,walk:26/fall:39/stand_up:16,81,,,
fall/fall_ch_188,train,False,False,False,False,-,fall+other,2,fall:24/other:57,81,,,
fall/fall_ch_189,test,False,False,False,False,-,fall+fallen+other,3,fall:27/fallen:14/other:40,81,44.0,10.0,26.0
fall/fall_ch_190,train,False,False,False,False,-,walk+fall+fallen+stand_up,4,walk:8/fall:24/fallen:32/stand_up:17,81,,,
fall/fall_ch_191,train,False,False,False,False,-,walk+fall+fallen,3,walk:21/fall:37/fallen:23,81,,,
fall/fall_ch_192,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_193,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_ch_194,train,False,False,False,False,-,fall+other,2,fall:67/other:14,81,,,
fall/fall_ch_195,train,False,False,False,False,-,fall+sitting,2,fall:33/sitting:48,81,,,
fall/fall_ch_196,train,False,False,False,False,-,fall+fallen,2,fall:60/fallen:21,81,,,
fall/fall_ch_197,train,False,False,False,False,-,fall+sitting+other,3,fall:56/sitting:5/other:20,81,,,
fall/fall_ch_198,train,False,False,False,False,-,fall+fallen,2,fall:27/fallen:54,81,,,
fall/fall_ch_199,train,False,False,False,False,-,fall+fallen,2,fall:79/fallen:2,81,,,
fall/fall_ch_200,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_el_001,test,False,False,False,False,-,fall+fallen,2,fall:41/fallen:40,81,35.0,39.0,6.0
fall/fall_el_002,train,False,False,False,False,-,fall+standing,2,fall:60/standing:21,81,,,
fall/fall_el_003,train,False,False,False,False,-,fall+stand_up+kneeling,3,fall:25/stand_up:47/kneeling:9,81,,,
fall/fall_el_004,train,False,False,False,False,-,walk+fall+fallen+stand_up+standing,5,walk:18/fall:25/fallen:6/stand_up:22/standing:10,81,,,
fall/fall_el_005,train,False,False,False,False,-,fall+fallen,2,fall:44/fallen:37,81,,,
fall/fall_el_006,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_el_007,train,False,False,False,False,-,walk+fall+fallen,3,walk:17/fall:20/fallen:44,81,,,
fall/fall_el_008,test,False,False,False,False,-,fall+sitting,2,fall:62/sitting:19,81,25.0,14.0,41.0
fall/fall_el_009,train,False,False,False,False,-,fall+fallen+other,3,fall:28/fallen:2/other:51,81,,,
fall/fall_el_010,train,False,False,False,False,-,fall+standing,2,fall:68/standing:13,81,,,
fall/fall_el_011,train,False,False,False,False,-,fall+stand_up,2,fall:17/stand_up:64,81,,,
fall/fall_el_012,train,False,False,False,False,-,fall+fallen,2,fall:26/fallen:55,81,,,
fall/fall_el_013,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_el_014,train,False,False,False,False,-,fall+stand_up+kneeling,3,fall:18/stand_up:9/kneeling:54,81,,,
fall/fall_el_015,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_el_016,train,False,False,False,False,-,walk+fall+standing,3,walk:28/fall:24/standing:29,81,,,
fall/fall_el_017,train,False,False,False,False,-,fall+fallen,2,fall:19/fallen:62,81,,,
fall/fall_el_018,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_el_019,train,True,True,True,False,uniform_fallen,fallen,1,fallen:81,81,,,
fall/fall_el_020,train,False,False,False,False,-,walk+fall,2,walk:36/fall:45,81,,,
fall/fall_el_021,train,False,False,False,False,-,fall+stand_up,2,fall:32/stand_up:49,81,,,
fall/fall_el_022,train,False,False,False,False,-,fall+fallen,2,fall:20/fallen:61,81,,,
fall/fall_el_023,train,False,False,False,False,-,fall+fallen+standing,3,fall:28/fallen:20/standing:33,81,,,
fall/fall_el_024,train,False,False,False,False,-,walk+fall+stand_up,3,walk:5/fall:44/stand_up:32,81,,,
fall/fall_el_025,test,False,False,False,False,-,fall+fallen+stand_up,3,fall:12/fallen:3/stand_up:66,81,49.0,0.0,31.0
fall/fall_el_026,train,False,False,False,False,-,walk+fall+stand_up,3,walk:39/fall:17/stand_up:25,81,,,
fall/fall_el_027,train,False,False,False,False,-,walk+fall+fallen,3,walk:11/fall:19/fallen:51,81,,,
fall/fall_el_028,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_el_029,val,False,False,False,False,-,walk+fall+fallen,3,walk:20/fall:39/fallen:22,81,,,
fall/fall_el_030,train,False,False,False,False,-,fall+fallen,2,fall:25/fallen:56,81,,,
fall/fall_el_031,train,False,False,False,False,-,fall+fallen+stand_up+kneeling,4,fall:14/fallen:11/stand_up:38/kneeling:18,81,,,
fall/fall_el_032,test,False,False,False,False,-,fall,1,fall:81,81,80.0,0.0,0.0
fall/fall_el_033,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_el_034,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_el_035,train,False,False,False,False,-,fall+stand_up+kneeling,3,fall:42/stand_up:32/kneeling:7,81,,,
fall/fall_el_036,train,False,False,False,False,-,walk+fall+stand_up+other,4,walk:10/fall:30/stand_up:38/other:3,81,,,
fall/fall_el_037,train,False,False,False,False,-,fall+fallen,2,fall:73/fallen:8,81,,,
fall/fall_el_038,train,False,False,False,False,-,fall+stand_up,2,fall:35/stand_up:46,81,,,
fall/fall_el_039,train,False,False,False,False,-,walk+fall+stand_up+standing+crawl,5,walk:16/fall:15/stand_up:37/standing:6/crawl:7,81,,,
fall/fall_el_040,train,False,False,False,False,-,fall+stand_up+kneeling,3,fall:8/stand_up:36/kneeling:37,81,,,
fall/fall_el_041,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_el_042,test,False,False,False,False,-,fall,1,fall:81,81,51.0,0.0,29.0
fall/fall_el_043,train,False,False,False,False,-,fall+fallen+stand_up,3,fall:14/fallen:11/stand_up:56,81,,,
fall/fall_el_044,val,False,False,False,False,-,fall+sitting+stand_up+other,4,fall:16/sitting:14/stand_up:8/other:43,81,,,
fall/fall_el_045,train,False,False,False,False,-,fall+stand_up,2,fall:32/stand_up:49,81,,,
fall/fall_el_046,train,False,False,False,False,-,fall+fallen,2,fall:39/fallen:42,81,,,
fall/fall_el_047,train,False,False,False,False,-,fall+sitting+stand_up+standing+crawl,5,fall:18/sitting:17/stand_up:25/standing:8/crawl:13,81,,,
fall/fall_el_048,train,False,False,False,False,-,fall+stand_up+other+kneeling,4,fall:19/stand_up:10/other:18/kneeling:34,81,,,
fall/fall_el_049,train,False,False,False,False,-,fall+lying+stand_up,3,fall:22/lying:42/stand_up:17,81,,,
fall/fall_el_050,train,False,False,False,False,-,fall+standing+kneeling,3,fall:32/standing:17/kneeling:32,81,,,
fall/fall_el_051,train,False,False,False,False,-,fall+stand_up,2,fall:28/stand_up:53,81,,,
fall/fall_el_052,test,False,False,False,False,-,fall+fallen,2,fall:43/fallen:38,81,27.0,46.0,7.0
fall/fall_el_053,train,False,False,False,False,-,fall+stand_up,2,fall:69/stand_up:12,81,,,
fall/fall_el_054,train,False,False,False,False,-,fall+lie_down,2,fall:25/lie_down:56,81,,,
fall/fall_el_055,train,False,False,False,False,-,walk+fall+fallen,3,walk:15/fall:39/fallen:27,81,,,
fall/fall_el_056,train,False,False,False,False,-,fall+fallen,2,fall:72/fallen:9,81,,,
fall/fall_el_057,train,False,False,False,False,-,walk+fall,2,walk:26/fall:55,81,,,
fall/fall_el_058,train,False,False,False,False,-,fall+fallen,2,fall:63/fallen:18,81,,,
fall/fall_el_059,val,False,False,False,False,-,fall+fallen,2,fall:20/fallen:61,81,,,
fall/fall_el_060,train,False,False,False,False,-,fall,1,fall:81,81,,,
fall/fall_el_061,train,False,False,False,False,-,fall+fallen,2,fall:33/fallen:48,81,,,
fall/fall_el_062,train,False,False,False,False,-,fall+fallen,2,fall:35/fallen:46,81,,,
fall/fall_el_063,train,False,False,False,False,-,fall+sitting+stand_up,3,fall:59/sitting:18/stand_up:4,81,,,
fall/fall_el_064,train,False,False,False,False,-,fall+fallen+sitting+stand_up,4,fall:19/fallen:14/sitting:16/stand_up:32,81,,,
fall/fall_el_065,train,False,False,False,False,-,fall+sitting+stand_up+crawl,4,fall:29/sitting:19/stand_up:16/crawl:17,81,,,
fall/fall_el_066,train,False,False,False,False,-,fall+fallen,2,fall:20/fallen:61,81,,,
fall/fall_el_067,val,False,False,False,False,-,fall+fallen+stand_up,3,fall:8/fallen:28/stand_up:45,81,,,
fall/fall_el_068,train,False,False,False,False,-,walk+fall,2,walk:21/fall:60,81,,,
fall/fall_el_069,train,False,False,False,False,-,walk+other,2,walk:23/other:58,81,,,
